,tweet_id,retweet_count,favorite_count
421,nan,3839,0
422,nan,1899,9317
423,nan,2030,8871
424,nan,6470,0
425,nan,5053,13075
426,nan,10,280
427,nan,2320,9718
428,nan,2487,10645
429,nan,2636,14021
430,nan,7733,0
431,nan,11525,34984
432,nan,3716,13518
433,nan,648,0
434,nan,2980,0
435,nan,648,3706
436,nan,7246,21979
437,nan,1369,0
438,nan,1369,5927
439,nan,5607,14305
440,nan,3604,14916
441,nan,2271,10606
442,nan,1383,8008
443,nan,462,2550
444,nan,7733,25652
445,nan,42228,0
446,nan,21794,0
447,nan,21794,49960
448,nan,42228,95450
449,nan,24069,0
450,nan,8564,24597
451,nan,2982,10971
452,nan,7126,0
453,nan,2873,12127
454,nan,9366,0
455,nan,2621,12197
456,nan,3014,13671
457,nan,906,5356
458,nan,31314,57622
459,nan,3084,11901
460,nan,3505,13105
461,nan,3917,0
462,nan,17504,38260
463,nan,1131,6267
464,nan,9907,0
465,nan,2326,9690
466,nan,3011,13367
467,nan,1927,9517
468,nan,5496,0
469,nan,2361,11071
470,nan,2545,10905
471,nan,9366,33961
472,nan,2269,9564
473,nan,2500,9927
474,nan,1207,0
475,nan,6154,0
476,nan,1207,5545
477,nan,9907,25057
478,nan,4797,0
479,nan,2625,10937
480,nan,1918,9161
481,nan,4407,11467
482,nan,1505,8485
483,nan,3130,12511
484,nan,6750,0
485,nan,2156,9629
486,nan,10080,32000
487,nan,3732,0
488,nan,2194,10342
489,nan,16267,40402
490,nan,2060,9300
491,nan,8476,20783
492,nan,2090,10192
493,nan,5096,22085
494,nan,2236,10384
495,nan,2557,8588
496,nan,2728,9361
497,nan,513,4968
498,nan,3652,13242
499,nan,3225,11515
500,nan,4207,11694
501,nan,3220,10989
502,nan,2276,8865
503,nan,8503,23337
504,nan,2191,8380
505,nan,8067,0
506,nan,1665,7373
507,nan,1424,6787
508,nan,2231,8900
509,nan,4252,15224
510,nan,1647,8102
511,nan,1884,8429
512,nan,872,6215
513,nan,3650,14265
514,nan,7444,23302
515,nan,1655,5927
516,nan,2090,10093
517,nan,3057,12192
518,nan,13369,39640
519,nan,3901,16380
520,nan,4521,17250
521,nan,5711,0
522,nan,1696,7727
523,nan,6554,22246
524,nan,4046,14685
